model,view,tp,fn,fp,tn,pod,fpr,far,tss,hss,brier
elastic_net_joint,MAPPED_STANDARD,40.0,157.0,2383.0,4931.0,0.20304568527918782,0.32581350834016953,0.9834915394139496,-0.12276782306098172,-0.018894414370996013,0.08569711266549011
elastic_net_joint,EPISODE_NORMALIZED_OCCURRENCE,12.154761904761905,72.8452380952381,2383.0,4931.0,0.1429971988795518,0.32581350834016953,0.9949252707599171,-0.18281630946061772,-0.012668112969698891,0.07521099609692133
elastic_net_joint,NEW_ONSET,5.0,80.0,2383.0,4931.0,0.058823529411764705,0.32581350834016953,0.9979061976549414,-0.2669899789284048,-0.018554344017558465,0.07592886339882586
elastic_net_no_proton,MAPPED_STANDARD,19.0,178.0,3038.0,4276.0,0.09644670050761421,0.4153677878042111,0.9937847562970232,-0.31892108729659685,-0.03955184672833101,0.10544834786142235
elastic_net_no_proton,EPISODE_NORMALIZED_OCCURRENCE,7.078571428571429,77.92142857142856,3038.0,4276.0,0.08327731092436975,0.4153677878042111,0.997675405982956,-0.33209047687984133,-0.01823683965564558,0.09326653310999979
elastic_net_no_proton,NEW_ONSET,7.0,78.0,3038.0,4276.0,0.08235294117647059,0.4153677878042111,0.9977011494252873,-0.3330148466277405,-0.018288060449039408,0.09338321921735813
fit_prevalence_climatology,MAPPED_STANDARD,197.0,0.0,7314.0,0.0,1.0,1.0,0.9737718013580082,0.0,0.0,0.026052718964441113
fit_prevalence_climatology,EPISODE_NORMALIZED_OCCURRENCE,85.0,0.0,7314.0,0.0,1.0,1.0,0.9885119610758211,0.0,0.0,0.012882090192578093
fit_prevalence_climatology,NEW_ONSET,85.0,0.0,7314.0,0.0,1.0,1.0,0.9885119610758211,0.0,0.0,0.012882090192578095
past_proton_ge10_proxy,MAPPED_STANDARD,121.0,76.0,95.0,7219.0,0.6142131979695431,0.012988788624555646,0.4398148148148148,0.6012244093449874,0.5742767752347661,0.022766608973505527
past_proton_ge10_proxy,EPISODE_NORMALIZED_OCCURRENCE,39.09761904761905,45.90238095238096,95.0,7219.0,0.4599719887955182,0.012988788624555646,0.7084391257257506,0.44698320017096255,0.3477242356352167,0.019043435728122848
past_proton_ge10_proxy,NEW_ONSET,9.0,76.0,95.0,7219.0,0.10588235294117647,0.012988788624555646,0.9134615384615384,0.09289356431662082,0.08365278971791029,0.023111231247465874
xgb_joint,MAPPED_STANDARD,152.0,45.0,330.0,6984.0,0.7715736040609137,0.045118949958982774,0.6846473029045643,0.7264546541019309,0.42635641390198614,0.013866286184040004
xgb_joint,EPISODE_NORMALIZED_OCCURRENCE,56.63095238095238,28.369047619047617,330.0,6984.0,0.6662464985994397,0.045118949958982774,0.8535271114942882,0.6211275486404569,0.2255627510740917,0.008493106741803265
xgb_joint,NEW_ONSET,41.0,44.0,330.0,6984.0,0.4823529411764706,0.045118949958982774,0.889487870619946,0.43723399121748785,0.16420075182565086,0.01139100882430971
xgb_no_proton,MAPPED_STANDARD,136.0,61.0,1327.0,5987.0,0.6903553299492385,0.18143286847142467,0.9070403280929596,0.5089224614778138,0.12332576343539157,0.02273232515705985
xgb_no_proton,EPISODE_NORMALIZED_OCCURRENCE,59.17619047619047,25.823809523809523,1327.0,5987.0,0.6961904761904761,0.18143286847142467,0.9573097627251398,0.5147576077190514,0.06009994320533094,0.011359204230828378
xgb_no_proton,NEW_ONSET,56.0,29.0,1327.0,5987.0,0.6588235294117647,0.18143286847142467,0.9595083152566883,0.47739066094034,0.05585763754464965,0.011716042945767044
