model,view,tp,fn,fp,tn,pod,fpr,far,tss,hss,brier,positive_mass,negative_mass,rows
elastic_net_joint,MAPPED_STANDARD,40.0,157.0,2383.0,4929.0,0.20304568527918782,0.32590262582056895,0.9834915394139496,-0.12285694054138113,-0.018908251000405045,0.08571993783865978,197.0,7312.0,7509
elastic_net_joint,EPISODE_NORMALIZED_OCCURRENCE,12.154761904761905,72.8452380952381,2383.0,4929.0,0.1429971988795518,0.32590262582056895,0.9949252707599171,-0.18290542694101714,-0.012674326233470957,0.07523133163730174,85.0,7312.0,7509
elastic_net_joint,NEW_ONSET,5.0,80.0,2383.0,4929.0,0.058823529411764705,0.32590262582056895,0.9979061976549414,-0.26707909640880423,-0.018560592740319813,0.07594939303608389,85.0,7312.0,7397
elastic_net_no_proton,MAPPED_STANDARD,19.0,178.0,3038.0,4274.0,0.09644670050761421,0.41548140043763676,0.9937847562970232,-0.31903469993002254,-0.03956619911262365,0.10547643371782438,197.0,7312.0,7509
elastic_net_no_proton,EPISODE_NORMALIZED_OCCURRENCE,7.078571428571429,77.92142857142856,3038.0,4274.0,0.08327731092436975,0.41548140043763676,0.997675405982956,-0.332204089513267,-0.018243134174986228,0.09329175050437859,85.0,7312.0,7509
elastic_net_no_proton,NEW_ONSET,7.0,78.0,3038.0,4274.0,0.08235294117647059,0.41548140043763676,0.9977011494252873,-0.3331284592611662,-0.01829435528050414,0.09340846816131308,85.0,7312.0,7397
fit_prevalence_climatology,MAPPED_STANDARD,197.0,0.0,7312.0,0.0,1.0,1.0,0.9737648155546678,0.0,0.0,0.026059000479908764,197.0,7312.0,7509
fit_prevalence_climatology,EPISODE_NORMALIZED_OCCURRENCE,85.0,0.0,7312.0,0.0,1.0,1.0,0.9885088549411923,0.0,0.0,0.012884905745113296,85.0,7312.0,7509
fit_prevalence_climatology,NEW_ONSET,85.0,0.0,7312.0,0.0,1.0,1.0,0.9885088549411923,0.0,0.0,0.012884905745113293,85.0,7312.0,7397
past_proton_ge10_proxy,MAPPED_STANDARD,121.0,76.0,95.0,7217.0,0.6142131979695431,0.01299234135667396,0.4398148148148148,0.6012208566128692,0.5742735766199741,0.022772672792648822,197.0,7312.0,7509
past_proton_ge10_proxy,EPISODE_NORMALIZED_OCCURRENCE,39.09761904761905,45.90238095238096,95.0,7217.0,0.4599719887955182,0.01299234135667396,0.7084391257257506,0.4469796474388442,0.34772172017666503,0.019048584690060964,85.0,7312.0,7509
past_proton_ge10_proxy,NEW_ONSET,9.0,76.0,95.0,7217.0,0.10588235294117647,0.01299234135667396,0.9134615384615384,0.09289001158450251,0.08364961716314595,0.023117480059483574,85.0,7312.0,7397
xgb_joint,MAPPED_STANDARD,152.0,45.0,330.0,6982.0,0.7715736040609137,0.04513129102844639,0.6846473029045643,0.7264423130324673,0.42635050440004213,0.013869976728570509,197.0,7312.0,7509
xgb_joint,EPISODE_NORMALIZED_OCCURRENCE,56.63095238095238,28.369047619047617,330.0,6982.0,0.6662464985994397,0.04513129102844639,0.8535271114942882,0.6211152075709934,0.22555873139744276,0.008495400366244943,85.0,7312.0,7509
xgb_joint,NEW_ONSET,41.0,44.0,330.0,6982.0,0.4823529411764706,0.04513129102844639,0.889487870619946,0.4372216501480242,0.16419644696827335,0.011394085983179538,85.0,7312.0,7397
xgb_no_proton,MAPPED_STANDARD,136.0,61.0,1326.0,5986.0,0.6903553299492385,0.1813457330415755,0.9069767441860465,0.509009596907663,0.12342145115353802,0.02273833657903719,197.0,7312.0,7509
xgb_no_proton,EPISODE_NORMALIZED_OCCURRENCE,59.17619047619047,25.823809523809523,1326.0,5986.0,0.6961904761904761,0.1813457330415755,0.9572789433697622,0.5148447431489006,0.06015111827690781,0.011362231610276179,85.0,7312.0,7509
xgb_no_proton,NEW_ONSET,56.0,29.0,1326.0,5986.0,0.6588235294117647,0.1813457330415755,0.959479015918958,0.47747779637018917,0.05590602290273998,0.011719166807225106,85.0,7312.0,7397
