date,athlete,mark,venue,year_decimal,seconds
1967-12-03,Derek Clayton,2:09:36.4,Fukuoka,1967.9199178644765,7776.4
1969-05-30,Derek Clayton,2:08:33.6,Antwerp,1969.4079397672824,7713.6
1981-12-06,Robert de Castella,2:08:18,Fukuoka,1981.9281314168377,7698.0
1984-10-21,Steve Jones,2:08:05,Chicago,1984.8049281314168,7685.0
1985-04-20,Carlos Lopes,2:07:12,Rotterdam,1985.2984257357973,7632.0
1988-04-17,Belayneh Dinsamo,2:06:50,Rotterdam,1988.2929500342232,7610.0
1998-09-20,Ronaldo da Costa,2:06:05,Berlin,1998.7173169062287,7565.0
1999-10-24,Khalid Khannouchi,2:05:42,Chicago,1999.8104038329911,7542.0
2002-04-14,Khalid Khannouchi,2:05:38,London,2002.2819986310749,7538.0
2003-09-28,Paul Tergat,2:04:55,Berlin,2003.7392197125257,7495.0
2007-09-30,Haile Gebrselassie,2:04:26,Berlin,2007.7446954141,7466.0
2008-09-28,Haile Gebrselassie,2:03:59,Berlin,2008.7419575633128,7439.0
2011-09-25,Patrick Makau,2:03:38,Berlin,2011.7310061601645,7418.0
2013-09-29,Wilson Kipsang,2:03:23,Berlin,2013.7419575633128,7403.0
2014-09-28,Dennis Kimetto,2:02:57,Berlin,2014.7392197125257,7377.0
2018-09-16,Eliud Kipchoge,2:01:39,Berlin,2018.70636550308,7299.0
2022-09-25,Eliud Kipchoge,2:01:09,Berlin,2022.7310061601645,7269.0
2023-10-08,Kelvin Kiptum,2:00:35,Chicago,2023.766598220397,7235.0
2026-04-26,Sabastian Sawe,1:59:30,London,2026.31485284052,7170.0
