sample_id,region_group_id,latitude_deg,unsigned_flux_proxy,signed_flux_imbalance,rms_field,field_energy_proxy,gradient_rms,high_gradient_fraction,positive_components,negative_components,strong_component_count,strong_centroid_separation,spectral_centroid,spectral_high_fraction,spectral_potential_proxy
H8088_20220331T045923Z,RG01463,14.583796,44.197372,0.23651037,155.2141,24091.418,38.401993,0.03973388671875,51.0,56.0,107.0,82.96221657855031,0.03883581712230831,0.0657231,131314.49956484974
H5983_20150929T025924Z,RG00988,-19.901756,59.68187,0.16131821,191.27086,36584.54,47.340652,0.05694580078125,88.0,47.0,135.0,92.86604870056811,0.03766930400127824,0.069680184,249076.6310904796
H2491_20130217T145925Z,RG00478,12.425798,9.283739,0.005393486,67.39539,4542.1387,25.383362,0.014404296875,15.0,14.0,29.0,41.49901679816838,0.07804314345544167,0.20282288,11356.239980020151
H1879_20120729T135925Z,RG00362,-18.756617,37.99603,0.06985052,114.48787,13107.473,29.96876,0.02362060546875,20.0,101.0,121.0,147.7203215889257,0.04512094264328934,0.11942962,89467.94901467457
H2635_20130410T065925Z,RG00513,9.926669,37.699253,0.14654161,119.834404,14360.284,37.14185,0.0341796875,91.0,104.0,195.0,41.64936506652802,0.05752744723398184,0.13421394,62539.912161599605
H753_20110803T035926Z,RG00172,17.447157,38.134827,0.013012797,173.11528,29968.902,40.726414,0.03753662109375,57.0,36.0,93.0,51.41547092141791,0.03673096803308762,0.061811738,151972.29809087567
H833_20110906T005926Z,RG00188,14.932403,40.90368,0.11212857,136.28389,18573.297,42.541157,0.04669189453125,77.0,62.0,139.0,74.05080072672362,0.05952124616344742,0.16173816,97678.04382955129
H7115_20170903T095923Z,RG01197,-9.577951,18.022535,0.11021597,87.52502,7660.628,30.879393,0.02276611328125,41.0,61.0,102.0,34.50965206544006,0.07306718686420105,0.2023249,25044.097710705337
H5673_20150617T075925Z,RG00938,-20.509359,48.990196,0.033854343,152.3262,23203.273,43.82461,0.054931640625,74.0,56.0,130.0,107.16678788773592,0.052237780943475975,0.13299815,147424.1690708803
H8086_20220328T165923Z,RG01462,-19.825232,12.746772,0.055893864,55.71033,3103.6409,21.134777,0.01092529296875,31.0,30.0,61.0,77.23369300924873,0.08597651512907621,0.25937948,11031.272301352583
H8086_20220329T005923Z,RG01462,-19.870646,11.57084,0.08700777,50.96032,2596.954,19.64368,0.00921630859375,37.0,32.0,69.0,76.52813305317338,0.09021423969045324,0.28890833,9004.588208410276
H1449_20120309T215926Z,RG00292,17.909054,58.49733,0.0630247,179.03151,32052.281,46.446785,0.06146240234375,80.0,42.0,122.0,66.58806789535078,0.043215987716296506,0.09157073,164440.75935236845
