model,feature,mean_abs_standardized_coefficient
13 independent scalar proxies,gradient_rms,2.7644367581536904
13 independent scalar proxies,unsigned_flux_proxy,1.7091439437644038
13 independent scalar proxies,high_gradient_fraction,1.581495704824246
13 independent scalar proxies,rms_field,1.2672562256448863
13 independent scalar proxies,spectral_high_fraction,1.153216318389827
13 independent scalar proxies,strong_component_count,1.112081369762628
13 independent scalar proxies,spectral_centroid,1.0795017550870134
13 independent scalar proxies,positive_components,0.9289094447818194
13 independent scalar proxies,signed_flux_imbalance,0.8948792045916857
13 independent scalar proxies,negative_components,0.8808045850100346
13 independent scalar proxies,spectral_potential_proxy,0.6511795024626543
13 independent scalar proxies,strong_centroid_separation,0.1935073806162511
13 independent scalar proxies,field_energy_proxy,0.1547962015944421
16x16 coarse field,block_08_07,1.2773072719573975
16x16 coarse field,block_05_06,1.1510930061340332
16x16 coarse field,block_10_08,1.093551516532898
16x16 coarse field,block_08_01,1.0443751811981201
16x16 coarse field,block_06_06,1.000081181526184
16x16 coarse field,block_04_07,0.9189597964286804
16x16 coarse field,block_08_05,0.9055401086807251
16x16 coarse field,block_08_09,0.8897759318351746
16x16 coarse field,block_08_06,0.8839627504348755
16x16 coarse field,block_10_00,0.8661367297172546
16x16 coarse field,block_11_02,0.864324688911438
16x16 coarse field,block_07_07,0.8371379971504211
16x16 coarse field,block_06_10,0.8296712636947632
16x16 coarse field,block_10_04,0.8055793046951294
16x16 coarse field,block_08_14,0.7905102968215942
16x16 coarse field,block_00_15,0.7877669930458069
16x16 coarse field,block_02_03,0.7836347818374634
16x16 coarse field,block_10_11,0.7665213346481323
16x16 coarse field,block_09_06,0.762274980545044
16x16 coarse field,block_12_07,0.7611958384513855
16x16 coarse field,block_07_13,0.7588648200035095
16x16 coarse field,block_04_04,0.7553940415382385
16x16 coarse field,block_11_09,0.7517561912536621
16x16 coarse field,block_12_01,0.7447041273117065
16x16 coarse field,block_10_05,0.7324212789535522
16x16 coarse field,block_02_02,0.7312586903572083
16x16 coarse field,block_07_10,0.7024564743041992
16x16 coarse field,block_07_15,0.6978107690811157
16x16 coarse field,block_10_02,0.6928382515907288
16x16 coarse field,block_08_10,0.6828791499137878
16x16 coarse field,block_08_11,0.6777342557907104
16x16 coarse field,block_11_12,0.6757614612579346
16x16 coarse field,block_09_08,0.6584476232528687
16x16 coarse field,block_00_03,0.6556469202041626
16x16 coarse field,block_07_14,0.6503008604049683
16x16 coarse field,block_12_11,0.6384309530258179
16x16 coarse field,block_10_07,0.6367764472961426
16x16 coarse field,block_06_02,0.631391167640686
16x16 coarse field,block_02_10,0.6275440454483032
16x16 coarse field,block_00_02,0.6226276159286499
16x16 coarse field,block_05_03,0.6076409220695496
16x16 coarse field,block_05_15,0.6015318036079407
16x16 coarse field,block_05_01,0.5991680026054382
16x16 coarse field,block_13_04,0.5761833190917969
16x16 coarse field,block_12_06,0.5703569054603577
16x16 coarse field,block_04_06,0.5646297335624695
16x16 coarse field,block_00_04,0.5629497766494751
16x16 coarse field,block_07_00,0.5590512156486511
16x16 coarse field,block_07_11,0.5572402477264404
16x16 coarse field,block_12_02,0.5460377931594849
16x16 coarse field,block_04_12,0.5412375926971436
16x16 coarse field,block_13_02,0.5343161821365356
16x16 coarse field,block_09_09,0.5322726964950562
16x16 coarse field,block_03_00,0.5294456481933594
16x16 coarse field,block_04_01,0.526325523853302
16x16 coarse field,block_12_00,0.5256848335266113
16x16 coarse field,block_12_08,0.5239947438240051
16x16 coarse field,block_08_12,0.5138179063796997
16x16 coarse field,block_13_14,0.5094233751296997
16x16 coarse field,block_08_08,0.5068110823631287
16x16 coarse field,block_05_07,0.4944320619106293
16x16 coarse field,block_08_13,0.48932307958602905
16x16 coarse field,block_13_01,0.486960232257843
16x16 coarse field,block_09_07,0.46790915727615356
16x16 coarse field,block_13_07,0.467607319355011
16x16 coarse field,block_08_04,0.4644021987915039
16x16 coarse field,block_07_04,0.4603337347507477
16x16 coarse field,block_13_11,0.4582853317260742
16x16 coarse field,block_05_04,0.4580521583557129
16x16 coarse field,block_03_07,0.45680180191993713
16x16 coarse field,block_07_03,0.4565819799900055
16x16 coarse field,block_06_09,0.4519862234592438
16x16 coarse field,block_02_11,0.44725674390792847
16x16 coarse field,block_14_15,0.4461548328399658
16x16 coarse field,block_13_08,0.4411330223083496
16x16 coarse field,block_15_14,0.43945685029029846
16x16 coarse field,block_06_03,0.4338453710079193
16x16 coarse field,block_01_10,0.4310322403907776
16x16 coarse field,block_06_12,0.42277780175209045
16x16 coarse field,block_03_02,0.4200006425380707
16x16 coarse field,block_11_15,0.4186815619468689
16x16 coarse field,block_09_00,0.417020320892334
16x16 coarse field,block_05_10,0.4162658751010895
16x16 coarse field,block_05_09,0.41615352034568787
16x16 coarse field,block_11_07,0.4144630432128906
16x16 coarse field,block_12_15,0.4138096868991852
16x16 coarse field,block_14_10,0.4134069085121155
16x16 coarse field,block_11_06,0.4110780656337738
16x16 coarse field,block_09_13,0.4058965742588043
16x16 coarse field,block_15_07,0.4023953378200531
16x16 coarse field,block_02_06,0.4015672206878662
16x16 coarse field,block_15_12,0.3990504741668701
16x16 coarse field,block_13_10,0.39769911766052246
16x16 coarse field,block_03_11,0.3973909020423889
16x16 coarse field,block_04_15,0.3926911950111389
16x16 coarse field,block_10_12,0.3895246386528015
16x16 coarse field,block_01_00,0.3890986442565918
16x16 coarse field,block_03_15,0.38451093435287476
16x16 coarse field,block_00_09,0.38442695140838623
16x16 coarse field,block_03_10,0.3791768252849579
16x16 coarse field,block_06_05,0.3742564022541046
16x16 coarse field,block_11_03,0.3726850152015686
16x16 coarse field,block_03_03,0.37172824144363403
16x16 coarse field,block_13_15,0.37115907669067383
16x16 coarse field,block_11_04,0.36699002981185913
16x16 coarse field,block_10_03,0.36372166872024536
16x16 coarse field,block_11_11,0.3629125654697418
16x16 coarse field,block_06_07,0.361707866191864
16x16 coarse field,block_00_08,0.35996562242507935
16x16 coarse field,block_05_02,0.35990291833877563
