model,fold,test_rows,test_groups,auc,balanced_accuracy
13 independent scalar proxies,1,123,25,1.0,0.9807692307692308
13 independent scalar proxies,2,121,25,1.0,1.0
13 independent scalar proxies,3,124,25,0.998822605965463,0.9807692307692308
13 independent scalar proxies,4,125,25,1.0,0.9807692307692308
13 independent scalar proxies,5,124,25,1.0,0.9948979591836735
16x16 coarse field,1,123,25,0.6597938144329897,0.7938144329896908
16x16 coarse field,2,121,25,0.6490549828178693,0.7938144329896908
16x16 coarse field,3,124,25,0.445839874411303,0.673469387755102
16x16 coarse field,4,125,25,0.505050505050505,0.7070707070707071
16x16 coarse field,5,124,25,0.6840659340659341,0.8010204081632653
