band,feature,real_n,synthetic_n,real_groups,synthetic_groups,real_median,synthetic_median,median_ratio,ratio_ci_low,ratio_ci_high
"[-90,-15]",unsigned_flux_proxy,171,44,46,22,31.771374,64.91238683675404,1.8818716106598512,1.2284392678443181,2.3482383627501053
"[-90,-15]",signed_flux_imbalance,171,44,46,22,0.08700777,0.45711676845773747,5.120331422131224,3.247376509001737,7.51402737937353
"[-90,-15]",rms_field,171,44,46,22,118.78427,169.4922600112081,1.4369127320001343,1.0949460469830887,1.8439888813144834
"[-90,-15]",field_energy_proxy,171,44,46,22,14109.703,28727.9564457331,2.0956317646974063,1.2578305928419082,3.345024863261484
"[-90,-15]",gradient_rms,171,44,46,22,36.842613,56.87200988371967,1.5625330684600236,1.2596498861284775,1.9813966008432056
"[-90,-15]",high_gradient_fraction,171,44,46,22,0.03448486328125,0.041717529296875,1.235366004962779,0.7695266178130316,1.8448365654117111
"[-90,-15]",positive_components,171,44,46,22,60.0,43.5,0.7192982456140351,0.5869254658385094,0.9270833333333334
"[-90,-15]",negative_components,171,44,46,22,63.0,51.5,0.819672131147541,0.6153571428571429,1.0714285714285714
"[-90,-15]",strong_component_count,171,44,46,22,128.0,105.0,0.8316378600823044,0.6642155364091161,1.0388144652893816
"[-90,-15]",strong_centroid_separation,171,44,46,22,64.71548911070751,57.68769239223271,0.8800884670808686,0.7099698089721879,1.068877180739201
"[-90,-15]",spectral_centroid,171,44,46,22,0.0564702800925506,0.06965178867912765,1.241966912649716,1.1231789597622561,1.383613159298666
"[-90,-15]",spectral_high_fraction,171,44,46,22,0.13662142,0.20302065852374315,1.5022163499676036,1.3187298193126038,1.7335903030703974
"[-90,-15]",spectral_potential_proxy,171,44,46,22,64608.36135757362,120042.68023110322,1.8439864253109777,1.0770707994224644,2.7636348592521625
"(-15,0]",unsigned_flux_proxy,103,32,31,16,44.916542,57.59578080701715,1.262890237010267,1.0072394725347367,1.5690014215732833
"(-15,0]",signed_flux_imbalance,103,32,31,16,0.0768991,0.43040723019024635,5.503248025893809,3.52395068218924,8.112836631845605
"(-15,0]",rms_field,103,32,31,16,142.96367,158.2803826602302,1.0524684820148495,0.8272042403856829,1.3340328346975434
"(-15,0]",field_energy_proxy,103,32,31,16,20438.611,25053.133248845457,1.1516198009724468,0.710435228266277,1.8320663856088242
"(-15,0]",gradient_rms,103,32,31,16,39.94129,51.65975594432628,1.30436267331799,1.1380318210189766,1.5487560628104133
"(-15,0]",high_gradient_fraction,103,32,31,16,0.04351806640625,0.03167724609375,0.7416281368966637,0.5540318882230647,1.0605775254241805
"(-15,0]",positive_components,103,32,31,16,62.0,45.5,0.7258064516129032,0.5343828847771236,0.8435119940029985
"(-15,0]",negative_components,103,32,31,16,73.0,58.5,0.8125,0.5599285714285714,1.0968939012096772
"(-15,0]",strong_component_count,103,32,31,16,147.0,108.0,0.7232269156275162,0.5949367088607594,0.8880597014925373
"(-15,0]",strong_centroid_separation,103,32,31,16,56.74719780048657,53.33226943154573,0.9141478284922303,0.6286847922595663,1.2182224547892373
"(-15,0]",spectral_centroid,103,32,31,16,0.0493674296982322,0.07314389852943025,1.4709808457087656,1.2897952889345665,1.6548430815576987
"(-15,0]",spectral_high_fraction,103,32,31,16,0.11582286,0.20689983021441105,1.8131217825952315,1.5319164592860586,2.2275756386428607
"(-15,0]",spectral_potential_proxy,103,32,31,16,116990.07274011544,100042.71291988462,0.780686880387935,0.4625181596439042,1.3824457846534328
"(0,15]",unsigned_flux_proxy,134,28,35,14,37.2709485,61.245934514847505,1.6313955194935517,1.2627447033594097,2.168554464331908
"(0,15]",signed_flux_imbalance,134,28,35,14,0.065272515,0.28479500187337525,4.4257888193951285,2.3061280142357963,10.430930759026301
"(0,15]",rms_field,134,28,35,14,122.177675,171.79866479488356,1.3671438479946845,1.1392447438492335,1.6000393082223052
"(0,15]",field_energy_proxy,134,28,35,14,14927.5175,29598.353660006724,1.8655294577316126,1.2958676583265105,2.595110286200544
"(0,15]",gradient_rms,134,28,35,14,39.446344499999995,58.69232412542041,1.4795780824364442,1.2314344963481705,1.7926741362151453
"(0,15]",high_gradient_fraction,134,28,35,14,0.03936767578125,0.04150390625,1.0527345761664435,0.6884735202492211,1.454759725695429
"(0,15]",positive_components,134,28,35,14,70.5,48.5,0.7014925373134329,0.5986818939955523,0.9800238095238095
"(0,15]",negative_components,134,28,35,14,61.5,49.5,0.7965351732413379,0.5,1.0689655172413792
"(0,15]",strong_component_count,134,28,35,14,139.0,99.5,0.7266666666666667,0.5181126837660306,0.9535036828766037
"(0,15]",strong_centroid_separation,134,28,35,14,67.7910111284695,61.724197026082656,0.9259384144352949,0.7505822396732879,1.2356124409450653
"(0,15]",spectral_centroid,134,28,35,14,0.057061945904269454,0.0683251212450709,1.188961475661045,1.0545690419779221,1.3958166812891866
"(0,15]",spectral_high_fraction,134,28,35,14,0.140686205,0.19356466985214424,1.3702150140642564,1.111257913513646,1.6753670527293647
"(0,15]",spectral_potential_proxy,134,28,35,14,74167.79361049048,120533.71360905966,1.6025251289160873,0.934821401138745,2.5256080912467165
"(15,30]",unsigned_flux_proxy,77,22,22,11,41.65378,51.59253562741608,1.2426001757092415,1.0559709212572126,1.8359499951348592
"(15,30]",signed_flux_imbalance,77,22,22,11,0.048403542,0.28734342328511425,6.097338031856387,3.030444518962483,12.192048421078693
"(15,30]",rms_field,77,22,22,11,138.10144,164.30651169712704,1.1925521531173902,1.0083709933279397,1.430803625292411
"(15,30]",field_energy_proxy,77,22,22,11,19072.01,26999.146492575364,1.4173651558894655,0.9761043869210713,2.1434361970096494
