replicate,flux_median_ratio,active_area_median_ratio,diversity_ratio,saturation_fraction,generic_distance_ratio,flux_median_ratio_pass,active_area_median_ratio_pass,diversity_ratio_pass,saturation_fraction_pass,generic_distance_ratio_pass,joint_gate_pass
0,1.4415227667766222,1.0520878329677767,1.1029144278751324,0.000689983366625,7.006246814654683,True,True,True,True,True,True
1,1.4602064299785382,1.091397850883108,1.0403009682661393,0.00062561035234375,7.110356606269055,True,True,True,True,True,True
2,1.4867397744833502,1.1450980334564946,1.1102885980492665,0.000638484955296875,8.122424901044633,True,True,True,True,False,False
3,1.4841561954790594,1.12654613280705,1.076171418096899,0.0006275176999531249,8.344193174670064,True,True,True,True,False,False
4,1.6916495653763028,1.333675603056521,1.1774208357017404,0.0006980896003125,10.772199552275255,True,True,True,True,False,False
5,1.4196493779684904,1.1733954704175513,1.050625515524939,0.0006399154661093751,7.4167662538623365,True,True,True,True,True,True
6,1.4204826166884632,1.0337477515288118,1.0529664737711255,0.000659942625234375,6.770424219133887,True,True,True,True,True,True
7,1.524090689998243,1.0936920081646424,1.004746094001362,0.0005917549122656249,7.264634092581723,True,True,True,True,True,True
8,1.492173624520898,1.107985437865727,1.13406160178851,0.0006761550889375,8.303889723245335,True,True,True,True,False,False
9,1.6320609675539162,1.2572463922974169,1.0952321533680325,0.000669002531921875,7.779362997022069,True,True,True,True,True,True
10,1.7171616267165846,1.2958515318405066,1.1421372739200877,0.000637054441859375,10.552845515767952,True,True,True,True,False,False
11,1.499006898185997,1.1841842079885696,1.0795619010316333,0.0006246566750625,7.502821460127701,True,True,True,True,True,True
12,1.6274184851818603,1.2042574866618212,1.117713699313279,0.0007019042943593749,8.829967714068882,True,True,True,True,False,False
13,1.5606383180441286,1.2621156906094253,1.084088891195747,0.0007352828999062501,8.93942089642684,True,True,True,True,False,False
14,1.655855853075056,1.2176591361608304,1.1443682457734092,0.00073814391753125,9.74121482069495,True,True,True,True,False,False
15,1.2403764249829403,0.9221276512971736,1.0038547725693077,0.000586986539328125,6.192914976166379,True,True,True,True,True,True
16,1.7113364730076992,1.2951147255737097,1.15419372338641,0.0007634162871406249,11.060785224626013,True,True,True,True,False,False
17,1.465654698828682,1.1000429262203655,1.0940540569714852,0.0007295608520781249,7.400403845607307,True,True,True,True,True,True
18,1.3921033596322046,1.0049019884741772,1.0703837755023784,0.0007219314552187499,7.130955994690626,True,True,True,True,True,True
19,1.49294214952428,1.080101182942764,1.105719236107219,0.000750541685015625,7.226195445802208,True,True,True,True,True,True
20,1.3995533660424848,1.0877025600851178,1.068728040128875,0.00064897537215625,7.694415915229916,True,True,True,True,True,True
21,1.6450403210258164,1.2562240760163221,1.1195538711708524,0.00071430205934375,9.405745096327365,True,True,True,True,False,False
22,1.4424662686403578,1.1674254052711333,1.123159282043024,0.0006375312786093749,7.937845536963221,True,True,True,True,True,True
23,1.4593654288849194,1.053753888124836,1.084492227445951,0.00066661834796875,7.478508134560083,True,True,True,True,True,True
24,1.6042881963371358,1.227743285443206,1.1054088278239547,0.0006613731376874999,9.289246594499653,True,True,True,True,False,False
25,1.3178078651583058,0.9411764008134174,1.068932715973022,0.000642299648609375,6.7471252375681,True,True,True,True,True,True
26,1.7281993869661898,1.2945859906676944,1.162620429821879,0.000709056853671875,10.148918130437776,True,True,True,True,False,False
27,1.5969051547984592,1.0751395418726921,1.150641432424803,0.000753402708921875,9.149659201452115,True,True,True,True,False,False
28,1.5063578989423074,1.1547619350488028,1.1226354027581087,0.000635623930828125,7.942943284792323,True,True,True,True,True,True
29,1.5954209687998933,1.2638603846350915,1.1405125202129038,0.0006675720208125,9.975875758867783,True,True,True,True,False,False
30,1.3457167892807849,1.052631570619838,1.0449090189901251,0.0005855560278125,7.011100915696801,True,True,True,True,True,True
31,1.439864976075272,1.068325762838272,1.0542148290327722,0.0007033348071406251,6.572423894732693,True,True,True,True,True,True
32,1.5087224911518713,1.1308367819203662,1.097279196510057,0.00062227249175,7.646450484545504,True,True,True,True,True,True
33,1.35600835529792,1.0709282015240047,1.076487035535126,0.0006847381594374999,7.551785248633501,True,True,True,True,True,True
34,1.5940441432037926,1.162857147404539,1.1002290723898207,0.000719547269734375,8.515432455540187,True,True,True,True,False,False
35,1.2307989759457796,0.9772343904582124,1.0063203942808403,0.00060462951671875,5.89233977938024,True,True,True,True,True,True
36,1.28404494208642,0.9484444302045232,1.0635588195075518,0.00063943862915625,6.702523541787892,True,True,True,True,True,True
37,1.6110421380521636,1.2050395273714634,1.0983074568620828,0.00066328048684375,9.287087146079159,True,True,True,True,False,False
38,1.773220397358927,1.3526201155132818,1.1737800944284624,0.0007824897744375,10.04058375420336,True,True,True,True,False,False
